periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,() of pregnant women adolescents (10-19 years),adolescent pregnancy,estimated post abortion,prop of monthly anc visit by preg adolescent,adolescents (10-14 years) with  pregnancy,adolescent family planning uptake 10-14 yrs,adolescent family planning uptake 15-19 yrs,adolescents (15-19 years) with  pregnancy
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Garissa County,Dadaab Sub County,Abakaile Ward,Mn7xPHjxcxb,Abakaile Ward,KE_Ward_151,,7,4,,2.9,,,,4
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Imenti South Sub County,Abogeta East Ward,nDZvyhVwri1,Abogeta East Ward,KE_Ward_293,,48.1,161,,16.2,1,37,14,160
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Imenti South Sub County,Abogeta West Ward,auJK9sKTX9b,Abogeta West Ward,KE_Ward_294,,42.6,20,,666.7,3,3,23,17
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Imenti Central Sub County,Abothuguchi Central Ward,Ay0bToL5BTE,Abothuguchi Central Ward,KE_Ward_286,,21.3,29,,,1,,24,28
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Imenti Central Sub County,Abothuguchi West Ward,ZVoIw8oAOWZ,Abothuguchi West Ward,KE_Ward_287,,11.3,34,,,1,,7,33
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Wajir County,Wajir West Sub County,Ademasajide Ward,BMKDCdHbiHL,Ademasajide Ward,KE_Ward_178,,19.4,12,0,4.6,,,,12
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kilifi County,Magarini Sub County,Adu Ward,EO3kbx8nZIp,Adu Ward,KE_Ward_83,,19.9,136,0,9.9,8,1,87,128
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,soQ5zdUZi2H,Ageng'a Nanguba Ward,KE_Ward_1150,,25.8,78,0,8,3,1,338,75
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,JIQYJYd5CzO,Aguthi-gaaki Ward,KE_Ward_468,,10.9,11,0,4,,,11,11
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisumu County,Nyando Sub County,Ahero Ward,F1etBBfosCl,Ahero Ward,KE_Ward_1208,,12.8,59,0,3.9,3,2,120,56
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Uasin Gishu County,Ainabkoi Sub County,Ainabkoi/Olare Ward,keTxMrb6Oag,Ainabkoi/Olare Ward,KE_Ward_721,,22.5,73,,8.1,,1,46,73
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kericho County,Ainamoi Sub County,Ainamoi Ward,ZJyTpeyEcK5,Ainamoi Ward,KE_Ward_945,,64,105,,20,11,,14,94
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nairobi County,Kamukunji Sub County,Airbase Ward,t4Suo8Enc7T,Airbase Ward,KE_Ward_1437,,26.9,190,,9.4,53,1,60,137
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Mombasa County,Changamwe Sub County,Airport Ward,bmyrNLOPAAW,Airport Ward,KE_Ward_3,,9.4,59,,2.6,,2,38,59
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Igembe South Sub County,Akachiu Ward,mSPC54QXXiP,Akachiu Ward,KE_Ward_254,,36.7,109,,22,1,,77,108
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Igembe Central Sub County,Akirang'ondu Ward,CsVYL5oWdjy,Akirang'ondu Ward,KE_Ward_256,,35.3,113,,14,,,144,113
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Tigania West Sub County,Akithii Ward,bYsajNCrCgY,Akithii Ward,KE_Ward_267,,52.4,22,0,19.5,3,,48,19
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,West Pokot County,Pokot North Sub County,Alale Ward,Oe8JEzBVDa9,Alale Ward,KE_Ward_656,,20.6,71,0,12.8,1,,14,70
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Mandera County,Lafey Sub County,Alungo Gof Ward,zFbFESCJ8mq,Alungo Gof Ward,KE_Ward_220,,0,0,0,,,,,
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nakuru County,Kuresoi South Sub County,Amalo Ward,okaRgHkp8W5,Amalo Ward,KE_Ward_849,,18,60,0,6.8,1,1,60,59
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Teso South Sub County,Amukura Central Ward,VAOZFeKsbAT,Amukura Central Ward,KE_Ward_1132,,13.6,18,0,9.3,,,24,18
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Teso South Sub County,Amukura East Ward,xPmSqaPoPFT,Amukura East Ward,KE_Ward_1131,,15.8,41,0,4.5,,,58,41
